time,global step,score
00h 08m 10s,1035714,-87.0
00h 08m 10s,1037152,-95.0
00h 08m 11s,1037878,-95.0
00h 08m 11s,1038593,-99.0
00h 08m 12s,1039385,-97.0
00h 08m 13s,1041395,-77.0
00h 08m 13s,1042191,-87.0
00h 08m 14s,1043782,-93.0
00h 08m 16s,1048427,-87.0
00h 08m 17s,1049776,-73.0
00h 08m 18s,1052083,-93.0
00h 08m 19s,1053512,-91.0
00h 08m 20s,1056319,-95.0
00h 08m 21s,1057792,-73.0
00h 08m 21s,1058030,-93.0
00h 08m 22s,1060034,-91.0
00h 08m 22s,1060373,-83.0
00h 08m 23s,1061937,-83.0
00h 08m 23s,1062024,-69.0
00h 08m 24s,1063486,-89.0
00h 08m 27s,1069840,-87.0
00h 08m 28s,1071513,-99.0
00h 08m 28s,1071983,-87.0
00h 08m 28s,1072358,-93.0
00h 08m 30s,1076763,-97.0
00h 08m 31s,1077683,-97.0
00h 08m 32s,1081051,-89.0
00h 08m 35s,1087339,-71.0
00h 08m 36s,1088041,-97.0
00h 08m 38s,1091574,-89.0
00h 08m 39s,1093442,-79.0
00h 08m 39s,1094799,-97.0
00h 08m 39s,1095077,-81.0
00h 08m 40s,1095458,-97.0
00h 08m 40s,1095483,-79.0
00h 08m 40s,1095619,-83.0
00h 08m 41s,1098493,-87.0
00h 08m 41s,1099081,-93.0
00h 08m 43s,1101813,-83.0
00h 08m 43s,1102465,-81.0
00h 08m 44s,1104082,-71.0
00h 08m 44s,1104380,-95.0
00h 08m 47s,1109320,-91.0
00h 08m 47s,1110127,-91.0
00h 08m 48s,1112477,-83.0
00h 08m 50s,1115941,-95.0
00h 08m 50s,1117007,-73.0
00h 08m 52s,1119713,-93.0
00h 08m 52s,1120617,-85.0
00h 08m 52s,1120775,-89.0
00h 08m 53s,1122561,-97.0
00h 08m 53s,1122737,-95.0
00h 08m 54s,1124977,-95.0
00h 08m 55s,1126789,-95.0
00h 08m 58s,1132167,-87.0
00h 08m 59s,1134867,-97.0
00h 09m 00s,1135340,-97.0
00h 09m 01s,1137376,-97.0
00h 09m 01s,1137790,-83.0
00h 09m 01s,1138761,-93.0
00h 09m 02s,1139918,-69.0
00h 09m 03s,1141250,-93.0
00h 09m 07s,1150198,-93.0
00h 09m 07s,1150510,-91.0
00h 09m 08s,1151529,-81.0
00h 09m 09s,1155116,-95.0
00h 09m 10s,1155329,-99.0
00h 09m 10s,1155459,-99.0
00h 09m 12s,1159997,-89.0
00h 09m 12s,1160359,-93.0
00h 09m 13s,1161116,-73.0
00h 09m 13s,1161432,-97.0
00h 09m 14s,1164669,-73.0
00h 09m 15s,1166146,-75.0
00h 09m 15s,1166152,-89.0
00h 09m 15s,1166932,-97.0
00h 09m 16s,1167356,-97.0
00h 09m 16s,1167399,-79.0
00h 09m 16s,1168797,-99.0
00h 09m 16s,1168899,-95.0
00h 09m 20s,1176452,-99.0
00h 09m 21s,1177603,-89.0
00h 09m 23s,1181702,-93.0
00h 09m 24s,1184169,-97.0
00h 09m 24s,1184844,-87.0
00h 09m 25s,1187250,-91.0
00h 09m 26s,1188614,-85.0
00h 09m 26s,1189260,-99.0
00h 09m 28s,1192248,-99.0
00h 09m 28s,1192952,-89.0
00h 09m 29s,1193926,-83.0
00h 09m 31s,1197884,-91.0
00h 09m 31s,1197944,-87.0
00h 09m 35s,1205369,-77.0
00h 09m 35s,1205809,-83.0
00h 09m 35s,1206006,-87.0
00h 09m 36s,1207372,-81.0
00h 09m 36s,1208428,-99.0
00h 09m 37s,1210060,-89.0
00h 09m 39s,1214911,-89.0
00h 09m 40s,1215768,-93.0
00h 09m 41s,1218544,-83.0
00h 09m 43s,1221680,-91.0
00h 09m 44s,1224195,-89.0
00h 09m 44s,1225098,-77.0
00h 09m 45s,1226099,-97.0
00h 09m 45s,1226673,-95.0
00h 09m 45s,1227441,-85.0
00h 09m 46s,1229230,-93.0
00h 09m 48s,1231576,-77.0
00h 09m 48s,1231857,-83.0
00h 09m 48s,1232037,-93.0
00h 09m 50s,1235729,-81.0
00h 09m 50s,1237036,-89.0
00h 09m 50s,1237532,-85.0
00h 09m 54s,1244103,-95.0
00h 09m 54s,1245153,-85.0
00h 09m 55s,1246272,-81.0
00h 09m 55s,1246789,-85.0
00h 09m 56s,1249329,-91.0
00h 09m 57s,1250577,-91.0
00h 09m 58s,1252173,-85.0
00h 09m 58s,1252566,-95.0
00h 09m 59s,1255174,-87.0
00h 09m 59s,1255241,-89.0
00h 10m 00s,1256682,-77.0
00h 10m 02s,1260289,-83.0
00h 10m 02s,1260888,-89.0
00h 10m 03s,1262804,-91.0
00h 10m 05s,1266018,-99.0
00h 10m 06s,1269518,-93.0
00h 10m 07s,1269780,-87.0
00h 10m 07s,1271264,-95.0
00h 10m 08s,1273283,-77.0
00h 10m 09s,1275486,-93.0
00h 10m 14s,1283800,-95.0
00h 10m 14s,1284941,-95.0
00h 10m 15s,1286014,-89.0
00h 10m 15s,1286440,-99.0
00h 10m 15s,1287587,-87.0
00h 10m 16s,1289392,-89.0
00h 10m 17s,1290998,-99.0
