time,global step,score
23h 59m 59s,13242,0.0
23h 59m 59s,13263,0.0
23h 59m 59s,13279,0.0
23h 59m 59s,13321,0.0
23h 59m 59s,13337,1.0
23h 59m 59s,13485,0.0
23h 59m 59s,13498,1.0
23h 59m 59s,13520,0.0
23h 59m 59s,13546,0.0
00h 00m 00s,13727,1.0
00h 00m 00s,13729,1.0
00h 00m 00s,13736,0.0
00h 00m 00s,13756,0.0
00h 00m 00s,13773,0.0
00h 00m 00s,13791,0.0
00h 00m 00s,13809,0.0
00h 00m 00s,13830,0.0
00h 00m 00s,13886,1.0
00h 00m 00s,13895,0.0
00h 00m 00s,13898,0.0
00h 00m 00s,13922,0.0
00h 00m 00s,13924,0.0
00h 00m 00s,13950,0.0
00h 00m 00s,14005,0.0
00h 00m 00s,14028,0.0
00h 00m 00s,14153,0.0
00h 00m 00s,14216,0.0
00h 00m 00s,14234,0.0
00h 00m 00s,14275,0.0
00h 00m 00s,14337,0.0
00h 00m 00s,14364,1.0
00h 00m 00s,14422,0.0
00h 00m 00s,14478,0.0
00h 00m 00s,14497,0.0
00h 00m 00s,14505,0.0
00h 00m 00s,14506,0.0
00h 00m 00s,14579,1.0
00h 00m 00s,14583,0.0
00h 00m 00s,14611,0.0
00h 00m 00s,14636,0.0
00h 00m 00s,14640,0.0
00h 00m 00s,14667,1.0
00h 00m 00s,14670,1.0
00h 00m 00s,14736,1.0
00h 00m 00s,14760,0.0
00h 00m 00s,14766,0.0
00h 00m 00s,14801,0.0
00h 00m 00s,14836,0.0
00h 00m 00s,14857,0.0
00h 00m 00s,14873,0.0
00h 00m 00s,14912,0.0
00h 00m 00s,14993,0.0
00h 00m 00s,15004,2.0
00h 00m 00s,15055,0.0
00h 00m 00s,15131,0.0
00h 00m 00s,15231,0.0
00h 00m 00s,15255,0.0
00h 00m 00s,15277,0.0
00h 00m 00s,15283,1.0
00h 00m 00s,15302,0.0
00h 00m 00s,15308,1.0
00h 00m 00s,15321,0.0
00h 00m 00s,15328,0.0
00h 00m 00s,15349,0.0
00h 00m 00s,15457,0.0
00h 00m 00s,15478,0.0
00h 00m 00s,15484,0.0
00h 00m 00s,15493,0.0
00h 00m 00s,15516,2.0
00h 00m 00s,15540,1.0
00h 00m 00s,15551,0.0
00h 00m 00s,15600,0.0
00h 00m 00s,15622,1.0
00h 00m 00s,15647,0.0
00h 00m 00s,15651,0.0
00h 00m 00s,15656,0.0
00h 00m 00s,15659,2.0
00h 00m 00s,15665,1.0
00h 00m 01s,15871,0.0
00h 00m 01s,15892,1.0
00h 00m 01s,15912,0.0
00h 00m 01s,15913,0.0
00h 00m 01s,15932,0.0
00h 00m 01s,15950,0.0
00h 00m 01s,15976,2.0
00h 00m 01s,16004,0.0
00h 00m 01s,16013,0.0
00h 00m 01s,16036,0.0
00h 00m 01s,16049,1.0
00h 00m 01s,16103,1.0
00h 00m 01s,16154,0.0
00h 00m 01s,16165,0.0
00h 00m 01s,16209,0.0
00h 00m 01s,16212,0.0
00h 00m 01s,16218,0.0
00h 00m 01s,16258,1.0
00h 00m 01s,16258,0.0
00h 00m 01s,16283,0.0
